,,,,,,
,E06000033,Southend-on-Sea,2.2,,,
,E09000028,Southwark,5.4,,,
,E08000013,St. Helens,2.8,,,
,E10000028,Staffordshire,4.9,,,
,E08000007,Stockport,16.5,,,
,E06000004,Stockton-on-Tees,2.0,,,
,E06000021,Stoke-on-Trent,3.1,,,
,E10000029,Suffolk,3.3,,,
,E08000024,Sunderland,1.1,,,
,E10000030,Surrey,2.8,,,
,E09000029,Sutton,6.4,,,
,E06000030,Swindon,18.0,,,
,E08000008,Tameside,15.5,,,
,E06000020,Telford and Wrekin,2.8,,,
,E06000034,Thurrock,4.1,,,
,E06000027,Torbay,3.7,,,
,E09000030,Tower Hamlets,7.2,,,
,E08000009,Trafford,36.8,,,
,E08000036,Wakefield,13.0,,,
,E08000030,Walsall,6.7,,,
,E09000031,Waltham Forest,2.9,,,
,E09000032,Wandsworth,4.3,,,
,E06000007,Warrington,3.8,,,
,E10000031,Warwickshire,4.9,,,
,E06000037,West Berkshire,4.4,,,
,E10000032,West Sussex,3.8,,,
,E09000033,Westminster,3.9,,,
,E08000010,Wigan,7.1,,,
,E06000054,Wiltshire,3.2,,,
,E06000040,Windsor and Maidenhead,4.6,,,
,E08000015,Wirral,4.0,,,
,E06000041,Wokingham,2.4,,,
,E08000031,Wolverhampton,14.5,,,
,E10000034,Worcestershire,4.4,,,
,E06000014,York,4.3,,,
,,,,,,
, - represents no cases reported ,,,,,
